"Registration is not allow.","Registration is not allow."
"You have already logged in.","You have already logged in."
"Something wrong with getting your email of your ","Something wrong with getting your email of your "
"Something wrong when processing Ajax.","Something wrong when processing Ajax."
"You have logged in with twitter succesfully.","You have logged in with twitter succesfully."
"Please make sure your passwords match.","Please make sure your passwords match."
"You must confirm your account. Please check your email for the confirmation link or <a href="%1">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href="%1">click here</a> for a new link."
"You have created account successfully.","You have created account successfully."
"There is already an account with this email address. If you are sure that it is your email address, <a href="%1">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href="%1">click here</a> to get your password and access your account."
"Please correct the email address.","Please correct the email address."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits: check out faster, keep more than one address, track orders and more."
"We have sent a message to your email. Please check your inbox and click on the link to reset your password.","We have sent a message to your email. Please check your inbox and click on the link to reset your password."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"You have already logged in.","You have already logged in."
"You have logged in successfully. Please wait ...","You have logged in successfully. Please wait ..."
"This account is not confirmed. <a href="%1">Click here</a> to resend confirmation email.","This account is not confirmed. <a href="%1">Click here</a> to resend confirmation email."
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Invalid login or password.","Invalid login or password."
"You have signed out and will go to our homepage. Please wait ...","You have signed out and will go to our homepage. Please wait ..."
"You can't login right now.","You can't login right now."
"Registration is not allow.","Registration is not allow."
"You have already logged in.","You have already logged in."
"Something wrong with getting your email of your ","Something wrong with getting your email of your "
"Something wrong when processing Ajax.","Something wrong when processing Ajax."
"There was a problem performing this request","There was a problem performing this request"
"Reset Password","Reset Password"
"* Required Fields","* Required Fields"
"To have your password reset, enter your email address below. We will then send an email containing a link to reset your password.","To have your password reset, enter your email address below. We will then send an email containing a link to reset your password."
"Email","Email"
"Login","Login"
"Create an Account","Create an Account"
"New Customers","New Customers"
"Customer Login","Customer Login"
"Password","Password"
"Forgot Your Password?","Forgot Your Password?"
"Facebook Login","Facebook Login"
"Google+ Login","Google+ Login"
"Twitter Login","Twitter Login"
"Customer Register","Customer Register"
"Personal Information","Personal Information"
"First Name","First Name"
"Last Name","Last Name"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Sign-in Information","Sign-in Information"
"Confirm Password","Confirm Password"
"Forgot Your Password?","Forgot Your Password?"
"Failed to Send Email!","Failed to Send Email!"
"Error","Error"
"Close","Close"
"Success","Success"
"Sent Email Successfully!","Sent Email Successfully!"
"Login Failed!","Login Failed!"
"Login Successfully!","Login Successfully!"
"Logout Failed!","Logout Failed!"
"Logout Successfully!","Logout Successfully!"
"Register Failed!","Register Failed!"
"Register Successfully!","Register Successfully!"
You must input your Facebook App Id in configuration before.,You must input your Facebook App Id in configuration before.
You have logged in with Facebook successfully. Please wait ...,You have logged in with Facebook successfully. Please wait ...
You must input your Google+ Client Id in configuration before.,You must input your Google+ Client Id in configuration before.
You have logged in with Google+ successfully. Please wait ...,You have logged in with Google+ successfully. Please wait ...



